Index of Gen, I#1: Average AdditionProb of Gen, Average SubstractionProb of Gen, Average SubstitutionProb of Gen, I#2: Average AdditionProb of Gen, Average SubstractionProb of Gen, Average SubstitutionProb of Gen, 
361,0.291485,0.423407,0.480614,0.464398,0.713778,0.378185,
362,0.292472,0.426357,0.481581,0.462908,0.714009,0.383025,
363,0.293371,0.427064,0.480221,0.461708,0.71468,0.383983,
364,0.293319,0.419105,0.474059,0.462848,0.712457,0.381538,
365,0.292033,0.424926,0.476448,0.462557,0.713111,0.382951,
366,0.292055,0.422264,0.47411,0.460791,0.716065,0.385519,
367,0.292007,0.422002,0.476355,0.459243,0.716102,0.385219,
368,0.292242,0.423587,0.475289,0.457408,0.715776,0.384871,
369,0.292159,0.420885,0.473845,0.458933,0.715964,0.385642,
370,0.293702,0.409893,0.475261,0.455687,0.71596,0.387744,
371,0.295445,0.401946,0.474866,0.454164,0.716329,0.384632,
372,0.29513,0.402714,0.477042,0.454389,0.716168,0.384501,
373,0.294362,0.402436,0.482521,0.453435,0.715123,0.378324,
374,0.295519,0.401961,0.483806,0.454546,0.715925,0.378278,
375,0.295093,0.402378,0.485856,0.456892,0.714751,0.382411,
376,0.295032,0.403392,0.485484,0.462231,0.714835,0.386608,
377,0.292093,0.404553,0.486034,0.458497,0.716502,0.38421,
378,0.288919,0.397321,0.487196,0.454661,0.71554,0.381805,
379,0.285661,0.40202,0.486838,0.457338,0.713334,0.379162,
380,0.279542,0.398059,0.492315,0.459795,0.714496,0.39134,
381,0.281777,0.397162,0.493768,0.453297,0.712058,0.385431,
382,0.290004,0.395499,0.485266,0.453594,0.711526,0.385553,
383,0.293403,0.394227,0.485296,0.45431,0.709485,0.380009,
384,0.293397,0.394867,0.485707,0.460406,0.709413,0.380231,
385,0.286383,0.40152,0.489941,0.44924,0.708654,0.37446,
386,0.296249,0.396832,0.494317,0.451066,0.709616,0.379946,
387,0.302,0.394069,0.495537,0.457825,0.714266,0.386473,
388,0.293622,0.394071,0.496203,0.458767,0.716282,0.38368,
389,0.288074,0.396812,0.488535,0.44407,0.714467,0.372849,
390,0.277797,0.399899,0.488378,0.444242,0.713874,0.366797,
391,0.272553,0.400142,0.488762,0.446709,0.71149,0.367759,
392,0.271862,0.399374,0.488948,0.446923,0.71505,0.368245,
393,0.286171,0.388485,0.492844,0.450685,0.705952,0.371617,
394,0.284687,0.389062,0.495809,0.453732,0.70148,0.379453,
395,0.297059,0.381397,0.49747,0.454165,0.701501,0.383018,
396,0.29641,0.3808,0.498669,0.4551,0.699216,0.38182,
397,0.298994,0.379866,0.498566,0.454966,0.698947,0.382718,
398,0.299677,0.379814,0.498744,0.45093,0.698631,0.382485,
399,0.298632,0.38026,0.498912,0.453174,0.698433,0.382722,
400,0.297905,0.379342,0.500002,0.457802,0.695402,0.383249,
401,0.297388,0.375436,0.503521,0.458723,0.692443,0.382025,
402,0.29765,0.373158,0.49969,0.459483,0.690722,0.381634,
403,0.301882,0.382948,0.500126,0.461933,0.693609,0.381662,
404,0.30114,0.377295,0.502977,0.465911,0.697472,0.379611,
405,0.305548,0.366149,0.506451,0.464956,0.697591,0.382379,
